method,dataset_split,all_reports_hit,complete_evidence_recall,evidence_recall,macro_mrr,median_latency_ms,mean_estimated_tokens,status
Single-document Dense,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Dense + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document BM25,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document BM25 + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Hybrid RRF,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Hybrid RRF + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Multi-report naive global retrieval,dev,0.16666666666666666,0.1,0.2111111111111111,0.24166666666666667,920.6411000050139,,completed
Multi-report report-aware retrieval,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.33888888888888885,1601.9902000116417,,completed
Hybrid BM25 + Dense retrieval with RRF,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.33888888888888885,1333.1663999924785,1293.3333333333333,completed
RRF fusion k=10,dev,0.3333333333333333,0.3,0.4444444444444445,0.3416666666666667,2884.283700004744,1289.8333333333333,completed
RRF fusion k=30,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,2847.663000000466,1294.0666666666666,completed
RRF fusion k=60,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,3145.510149995971,1294.0666666666666,completed
RRF fusion k=100,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,2800.3196499921614,1294.0666666666666,completed
Weighted RRF D1/B1 reference,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,2914.2198000045028,1294.0666666666666,completed
Weighted RRF dense weight 1.5,dev,0.36666666666666664,0.3,0.4388888888888889,0.3333333333333333,3027.1667999986676,1290.8,completed
Weighted RRF dense weight 2,dev,0.36666666666666664,0.3,0.4388888888888889,0.3333333333333333,3200.6765000041923,1290.8,completed
Weighted RRF BM25 weight 1.5,dev,0.26666666666666666,0.23333333333333334,0.3111111111111111,0.26666666666666666,2462.2866499994416,1302.0666666666666,completed
Weighted RRF BM25 weight 2,dev,0.26666666666666666,0.23333333333333334,0.3111111111111111,0.26666666666666666,2782.7395999993314,1302.0666666666666,completed
Final local cross-encoder retrieval baseline,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3159.0397500112886,2150.9333333333334,completed
Local cross-encoder reranking,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3096.756450002431,2150.9333333333334,completed
Candidate-pool/quota optimised retrieval,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3729.847000002337,2150.9333333333334,completed
Terminology expansion append,dev,0.4,0.36666666666666664,0.4888888888888889,0.31611111111111106,2766.1724499994307,2156.4333333333334,completed
Multi-query retrieval / terminology expansion,dev,0.4,0.36666666666666664,0.4888888888888889,0.31611111111111106,2757.7458000014303,2156.4333333333334,completed
Facet decomposition,dev,0.4,0.36666666666666664,0.4888888888888889,0.31611111111111106,2837.389849999454,2156.4333333333334,completed
Exact-overlap diversity filter,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3010.5657000021893,2150.9333333333334,completed
MMR baseline: V2 Cohere selected context,dev,0.5,0.4666666666666667,0.6,0.41537037037037033,12948.27224999608,2096.4,completed
True MMR lambda 0.6,dev,0.5666666666666667,0.5333333333333333,0.65,0.4054629629629629,15217.13925000222,2037.0333333333333,completed
True MMR lambda 0.7,dev,0.5333333333333333,0.5,0.6333333333333333,0.41453703703703704,15279.256749992783,2048.4,completed
True MMR lambda 0.8,dev,0.5,0.4666666666666667,0.6,0.4163888888888889,15228.44014999282,2047.3,completed
Adjacent expansion boundary,dev,0.3,0.3,0.45555555555555555,0.3025925925925926,2952.9055500024697,2465.5666666666666,completed
Adjacent expansion always,dev,0.3,0.26666666666666666,0.41111111111111115,0.2754761904761905,2918.0584000059753,2480.3333333333335,completed
Adjacent expansion trend-only,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.3349206349206349,2982.258299998648,2034.7666666666667,completed
Child-parent retrieval same-page parent,dev,0.4,0.2,0.3055555555555555,0.3537037037037037,3064.396499990835,2189.6666666666665,completed
Child-parent retrieval adjacent-child parent,dev,0.4,0.06666666666666667,0.19444444444444445,0.3537037037037037,3120.6797500053653,1999.8333333333333,completed
Child-parent retrieval page-bounded parent,dev,0.4,0.13333333333333333,0.2611111111111111,0.3537037037037037,3167.879799999355,2191.133333333333,completed
Sentence-window retrieval window 1,dev,0.4,0.06666666666666667,0.10555555555555556,0.3537037037037037,3036.2097999895923,265.6666666666667,completed
Sentence-window retrieval window 2,dev,0.4,0.1,0.18333333333333332,0.3537037037037037,3514.750649999769,430.76666666666665,completed
Chunk-window retrieval neighbour chunks,dev,0.4,0.2,0.3055555555555555,0.3537037037037037,3280.235800004448,2474.9666666666667,completed
Phase 7 selected final retrieval held-out diagnostic,phase7_heldout_reused_for_old_final_only,0.38461538461538464,0.38461538461538464,0.5512820512820513,0.258974358974359,2495.7724999985658,2134.846153846154,completed_historical_heldout
V2 baseline final retrieval,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3159.0397500112886,2150.9333333333334,completed
V2 Cohere retrieval,dev,0.5,0.4666666666666667,0.6,0.41537037037037033,12948.27224999608,2097.2,completed
