baseline_experiment_id,baseline_fail_to_experiment_pass,baseline_mean,baseline_pass_to_experiment_fail,both_fail,both_pass,ci_95_high,ci_95_low,experiment_id,experiment_mean,mean_difference,metric,n,resamples,seed
MMR_BASELINE_V2_COHERE,2,0.4666666666666667,0,14,14,0.16666666666666666,0.0,MMR_LAMBDA_06,0.5333333333333333,0.06666666666666665,retrieval_complete_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,2,0.5,0,13,15,0.16666666666666666,0.0,MMR_LAMBDA_06,0.5666666666666667,0.06666666666666665,retrieval_all_reports_hit,30,2000,42
MMR_BASELINE_V2_COHERE,,0.6,,,,0.13333333333333333,0.0,MMR_LAMBDA_06,0.65,0.050000000000000044,retrieval_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,,0.41537037037037033,,,,0.01888888888888889,-0.04092592592592593,MMR_LAMBDA_06,0.4054629629629629,-0.00990740740740742,retrieval_macro_mrr,30,2000,42
MMR_BASELINE_V2_COHERE,,0.0,,,,0.0,0.0,MMR_LAMBDA_06,0.0,0.0,repeated_text_ratio,30,2000,42
MMR_BASELINE_V2_COHERE,,7.666666666666667,,,,0.43333333333333335,-0.2,MMR_LAMBDA_06,7.8,0.13333333333333286,unique_page_count,30,2000,42
MMR_BASELINE_V2_COHERE,1,0.4666666666666667,0,15,14,0.1,0.0,MMR_LAMBDA_07,0.5,0.033333333333333326,retrieval_complete_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,1,0.5,0,14,15,0.1,0.0,MMR_LAMBDA_07,0.5333333333333333,0.033333333333333326,retrieval_all_reports_hit,30,2000,42
MMR_BASELINE_V2_COHERE,,0.6,,,,0.1,0.0,MMR_LAMBDA_07,0.6333333333333333,0.033333333333333326,retrieval_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,,0.41537037037037033,,,,0.01601851851851852,-0.018333333333333333,MMR_LAMBDA_07,0.41453703703703704,-0.0008333333333332971,retrieval_macro_mrr,30,2000,42
MMR_BASELINE_V2_COHERE,,0.0,,,,0.0,0.0,MMR_LAMBDA_07,0.0,0.0,repeated_text_ratio,30,2000,42
MMR_BASELINE_V2_COHERE,,7.666666666666667,,,,0.13333333333333333,-0.3333333333333333,MMR_LAMBDA_07,7.6,-0.06666666666666732,unique_page_count,30,2000,42
MMR_BASELINE_V2_COHERE,0,0.4666666666666667,0,16,14,0.0,0.0,MMR_LAMBDA_08,0.4666666666666667,0.0,retrieval_complete_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,0,0.5,0,15,15,0.0,0.0,MMR_LAMBDA_08,0.5,0.0,retrieval_all_reports_hit,30,2000,42
MMR_BASELINE_V2_COHERE,,0.6,,,,0.0,0.0,MMR_LAMBDA_08,0.6,0.0,retrieval_evidence_recall,30,2000,42
MMR_BASELINE_V2_COHERE,,0.41537037037037033,,,,0.005555555555555558,-0.0024999999999999996,MMR_LAMBDA_08,0.4163888888888889,0.0010185185185185852,retrieval_macro_mrr,30,2000,42
MMR_BASELINE_V2_COHERE,,0.0,,,,0.0,0.0,MMR_LAMBDA_08,0.0,0.0,repeated_text_ratio,30,2000,42
MMR_BASELINE_V2_COHERE,,7.666666666666667,,,,0.13333333333333333,-0.3333333333333333,MMR_LAMBDA_08,7.6,-0.06666666666666732,unique_page_count,30,2000,42
