baseline_fail_experiment_pass,baseline_mean,baseline_pass_experiment_fail,both_fail,both_pass,case_count,ci_95_high,ci_95_low,conclusive,experiment_id,experiment_mean,mean_difference,metric
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,AQ01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,AQ01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,AQ01,0.49444444444444446,0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.053921568627450976,-0.028594771241830068,False,AQ01,0.30964052287581695,0.010620915032679737,macro_mrr
,1144.4706588231115,,,,34,1900.4201647039736,1229.4514735318337,True,AQ01,2693.557179411394,1549.0865205882822,total_latency
,1141.1764705882354,,,,34,524.2352941176471,390.47058823529414,True,AQ01,1599.1176470588234,457.94117647058823,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,BM02,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,BM02,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.12777777777777777,-0.05555555555555556,False,BM02,0.5055555555555555,0.04444444444444444,evidence_recall
,0.29901960784313725,,,,34,0.05718954248366013,-0.026143790849673207,False,BM02,0.31209150326797386,0.013071895424836598,macro_mrr
,1144.4706588231115,,,,34,1882.7378823510062,1216.2144647068892,True,BM02,2677.907520586707,1533.4368617635953,total_latency
,1141.1764705882354,,,,34,909.2058823529412,620.6176470588235,True,BM02,1897.8823529411766,756.7058823529412,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,COMBINED_01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,COMBINED_01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,COMBINED_01,0.4888888888888889,0.027777777777777783,evidence_recall
,0.29901960784313725,,,,34,0.015441176470588236,-0.05637254901960785,False,COMBINED_01,0.27892156862745093,-0.02009803921568628,macro_mrr
,1144.4706588231115,,,,34,1798.920982350811,1163.4569970573305,True,COMBINED_01,2599.5908117624554,1455.1201529393438,total_latency
,1141.1764705882354,,,,34,912.9411764705883,625.1470588235294,True,COMBINED_01,1902.735294117647,761.5588235294117,estimated_context_tokens
1,0.3333333333333333,1,19,9,30,0.1,-0.1,False,COMBINED_02,0.3333333333333333,0.0,complete_evidence_recall
1,0.36666666666666664,1,18,10,30,0.1,-0.1,False,COMBINED_02,0.36666666666666664,0.0,all_reports_hit
,0.46111111111111114,,,,30,0.08888888888888888,-0.07777777777777777,False,COMBINED_02,0.4777777777777778,0.016666666666666666,evidence_recall
,0.29901960784313725,,,,34,0.012254901960784312,-0.05759803921568628,False,COMBINED_02,0.27696078431372545,-0.02205882352941177,macro_mrr
,1144.4706588231115,,,,34,1789.0074852955022,1209.593438236933,True,COMBINED_02,2628.399079411739,1483.9284205886274,total_latency
,1141.1764705882354,,,,34,525.9705882352941,394.8529411764706,True,COMBINED_02,1601.8235294117646,460.6470588235294,estimated_context_tokens
1,0.3333333333333333,1,19,9,30,0.1,-0.1,False,COMBINED_03,0.3333333333333333,0.0,complete_evidence_recall
1,0.36666666666666664,1,18,10,30,0.1,-0.1,False,COMBINED_03,0.36666666666666664,0.0,all_reports_hit
,0.46111111111111114,,,,30,0.08888888888888888,-0.07777777777777777,False,COMBINED_03,0.4777777777777778,0.016666666666666666,evidence_recall
,0.29901960784313725,,,,34,0.012254901960784312,-0.05759803921568628,False,COMBINED_03,0.27696078431372545,-0.02205882352941177,macro_mrr
,1144.4706588231115,,,,34,1733.0257117624997,1123.1567882363486,True,COMBINED_03,2549.838202940437,1405.3675441173255,total_latency
,1141.1764705882354,,,,34,525.9705882352941,394.8529411764706,True,COMBINED_03,1601.8235294117646,460.6470588235294,estimated_context_tokens
0,0.3333333333333333,3,20,7,30,0.0,-0.23333333333333334,False,CP01,0.23333333333333334,-0.1,complete_evidence_recall
0,0.36666666666666664,3,19,8,30,0.0,-0.23333333333333334,False,CP01,0.26666666666666666,-0.1,all_reports_hit
,0.46111111111111114,,,,30,0.0,-0.18333333333333332,False,CP01,0.3777777777777778,-0.08333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.007352941176470592,-0.04166666666666667,False,CP01,0.2818627450980392,-0.017156862745098037,macro_mrr
,1144.4706588231115,,,,34,399.5345999993493,238.40405882305384,True,CP01,1459.7205764679102,315.24991764479853,total_latency
,1141.1764705882354,,,,34,2.3529411764705883,-5.911764705882353,False,CP01,1139.7058823529412,-1.4705882352941178,estimated_context_tokens
0,0.3333333333333333,4,20,6,30,-0.03333333333333333,-0.26666666666666666,True,CP02,0.2,-0.13333333333333333,complete_evidence_recall
0,0.36666666666666664,4,19,7,30,-0.03333333333333333,-0.26666666666666666,True,CP02,0.23333333333333334,-0.13333333333333333,all_reports_hit
,0.46111111111111114,,,,30,-0.03333333333333333,-0.26666666666666666,True,CP02,0.3277777777777778,-0.13333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.004901960784313725,-0.0857843137254902,False,CP02,0.26225490196078427,-0.03676470588235294,macro_mrr
