archived_configuration_checksum,experiment_id,failure_reason,finished_at,integrity_issue_count,integrity_status,question_count,rerun_configuration_checksum,started_at,status,wall_runtime_seconds
76a064c1ed8a3d97a4f20a168bde05eebdc4b1e025802126547a369a97da07e8,CP01,,2026-07-13T00:42:17.051101+00:00,0,valid,34,76a064c1ed8a3d97a4f20a168bde05eebdc4b1e025802126547a369a97da07e8,2026-07-13T00:41:27.564775+00:00,completed,49.758287200005725
1ae2c401079253a3c0cc4d2f94897bcb7ed5904129bb19b87d13c65a0673992b,CP02,,2026-07-13T00:47:54.444146+00:00,0,valid,34,1ae2c401079253a3c0cc4d2f94897bcb7ed5904129bb19b87d13c65a0673992b,2026-07-13T00:42:17.323091+00:00,completed,337.49591479997616
1792e934d35cb65b8bdac1ec9d58885f7af2cc893241612283725fee840e25a4,CP03,,2026-07-13T10:04:34.903292+00:00,0,valid,34,1792e934d35cb65b8bdac1ec9d58885f7af2cc893241612283725fee840e25a4,2026-07-13T00:47:54.819103+00:00,completed,33412.22908899997
17c93fd541806b0ab51cc0d51735de8141fb2dfe9ccb11f7cef53414c3270c9c,CP04,,2026-07-13T10:05:37.757313+00:00,0,valid,34,17c93fd541806b0ab51cc0d51735de8141fb2dfe9ccb11f7cef53414c3270c9c,2026-07-13T10:04:35.292102+00:00,completed,62.773774300003424
bf40b7130d743f721acc122c71f716b0982bb3d8ca34a5ea231cb12b4d3ac992,FR01,,2026-07-13T10:06:56.601317+00:00,0,valid,34,bf40b7130d743f721acc122c71f716b0982bb3d8ca34a5ea231cb12b4d3ac992,2026-07-13T10:05:38.065920+00:00,completed,78.83587940002326
d3e3331159b82248b4296db6e80a4580f1b055712f3998b5fa6390db2db471c3,FR02,,2026-07-13T10:08:22.681778+00:00,0,valid,34,d3e3331159b82248b4296db6e80a4580f1b055712f3998b5fa6390db2db471c3,2026-07-13T10:06:56.901831+00:00,completed,86.03844120004214
e2e7058ad6ad719defffdbf068a1cd1af7317035f37f51980f51f54cc51bee10,FR03,,2026-07-13T10:10:16.006515+00:00,0,valid,34,e2e7058ad6ad719defffdbf068a1cd1af7317035f37f51980f51f54cc51bee10,2026-07-13T10:08:22.940304+00:00,completed,113.31062399997609
4539e500cd8d96d222a210d51d2f3f383cb103b23cc76cf7f18057a85eb0347b,FR04,,2026-07-13T10:12:41.854898+00:00,0,valid,34,4539e500cd8d96d222a210d51d2f3f383cb103b23cc76cf7f18057a85eb0347b,2026-07-13T10:10:16.250956+00:00,completed,145.84455999999773
f937be45a61285256459334edc2833eabbc9e3aafa7334281fd3b3e93ac7702b,QUOTA_EXPANDED,,2026-07-13T10:14:41.386521+00:00,0,valid,34,f937be45a61285256459334edc2833eabbc9e3aafa7334281fd3b3e93ac7702b,2026-07-13T10:12:42.095541+00:00,completed,119.59710109996377
93eb8a21539ea2593dfc48a41c437e7466466917b072c99704762943b38f88b2,QUOTA_LARGE,,2026-07-13T10:17:18.034992+00:00,0,valid,34,93eb8a21539ea2593dfc48a41c437e7466466917b072c99704762943b38f88b2,2026-07-13T10:14:41.692684+00:00,completed,156.6875383000006
91fbb64ac4b7bcd4996366620fea54053cbaba3d01348d1dd46c286e6a2a7db7,RRF_K10,,2026-07-13T10:19:31.017732+00:00,0,valid,34,91fbb64ac4b7bcd4996366620fea54053cbaba3d01348d1dd46c286e6a2a7db7,2026-07-13T10:17:18.380275+00:00,completed,132.95856249995995
f7ddadaf4efbb189a71783d74bdf0ae1f8f764ca01c14273cdd0960c1b4f5aca,RRF_K100,,2026-07-13T10:21:51.433028+00:00,0,valid,34,f7ddadaf4efbb189a71783d74bdf0ae1f8f764ca01c14273cdd0960c1b4f5aca,2026-07-13T10:19:31.338870+00:00,completed,140.42334549996303
6117549a30b03529ac5095700d54d6ad85ad83cad9556edeb1adae5ce3d84b1f,RRF_K30,,2026-07-13T10:24:13.884932+00:00,0,valid,34,6117549a30b03529ac5095700d54d6ad85ad83cad9556edeb1adae5ce3d84b1f,2026-07-13T10:21:51.762247+00:00,completed,142.4462341000326
04a5ce7716e7f739c55089569953118657c56d931da37da67b3f680d0125b949,RRF_K60,,2026-07-13T10:26:36.785885+00:00,0,valid,34,04a5ce7716e7f739c55089569953118657c56d931da37da67b3f680d0125b949,2026-07-13T10:24:14.208521+00:00,completed,142.93835290003335
4a18719e9ae7a905e93a077ccb91adac923383c40112a20fedd4115fe91d4d9b,temporal_baseline,,2026-07-13T10:27:40.358160+00:00,0,valid,34,4a18719e9ae7a905e93a077ccb91adac923383c40112a20fedd4115fe91d4d9b,2026-07-13T10:26:37.146915+00:00,completed,63.386234800040256
8036ddcb4e1bd901b6b67faa402ab5c6f619d6b005081db06fc35987005b6ad9,WRRF_D1.5_B1,,2026-07-13T10:30:25.323714+00:00,0,valid,34,8036ddcb4e1bd901b6b67faa402ab5c6f619d6b005081db06fc35987005b6ad9,2026-07-13T10:27:40.533190+00:00,completed,165.19429479999235
