all_reports_hit,case_count,complete_evidence_recall,configuration_checksum,contamination,dataset_sha256,description,evidence_recall,experiment_id,family,finished_at,index_fingerprint,loss_stage_counts,macro_mrr,mean_estimated_tokens,mean_latency_ms,mean_repeated_text_ratio,mean_selected_characters,mean_selected_chunks,mean_unique_pages,median_latency_ms,p95_latency_ms,report_coverage,report_level_row_count,started_at
0.4,34,0.36666666666666664,1920242482e0a294c53f57c7e77e4183d9f8efc3045bd53a06e70f462162d040,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,PyPDFLoader parser reference.,0.5055555555555555,PARSER00,parser,2026-07-16T11:51:13.385527+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,2988.0616399978558,0.0,8602.466666666667,9.0,7.633333333333334,2934.834049992787,5230.599600006826,1.0,54,2026-07-16T11:49:43.650256+00:00
0.4,34,0.36666666666666664,815948505b1878aaffe6d702ebcad3bfa526d6406963a6d0db6ec4bfba7322a4,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Current MiniLM embedding reference.,0.5055555555555555,EMB00,embedding,2026-07-16T11:52:45.769817+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3056.674446666633,0.0,8602.466666666667,9.0,7.633333333333334,2981.264549998741,5455.76159999473,1.0,54,2026-07-16T11:51:13.642520+00:00
0.4,34,0.36666666666666664,14d158f4ce22223d50d829e9ad5d061c49116c93620ce00a3b3176449d76cf7b,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Recursive chunking reference using Stage A selected retrieval.,0.5055555555555555,SEM00,semantic_chunking,2026-07-16T11:33:46.963097+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3156.2809866654184,0.0,8602.466666666667,9.0,7.633333333333334,3014.1576000023633,5373.839700012468,1.0,54,2026-07-16T11:32:12.183693+00:00
0.4,34,0.36666666666666664,481f8363b1355011040c6290a05f37a24b1140c8c17c77011273567b8c0de5d0,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Reproduce the Stage A selected QUOTA_LARGE configuration under Phase 6B output isolation.,0.5055555555555555,stage_a_selected_reference,stage_a_reference,2026-07-16T11:32:11.848204+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3127.149929998753,0.0,8602.466666666667,9.0,7.633333333333334,3018.499600002542,5314.235500001814,1.0,54,2026-07-16T11:30:37.938767+00:00
0.4,34,0.36666666666666664,2e0cb44cdb79dd1ff133e8159f79a869f1a93967b29a00bc8166dedd9dddf2e9,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Current MiniLM cross-encoder reranker reference.,0.5055555555555555,RERANK00,reranker,2026-07-16T11:54:17.612725+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3048.256253332753,0.0,8602.466666666667,9.0,7.633333333333334,3096.756450002431,5249.5425999950385,1.0,54,2026-07-16T11:52:46.070557+00:00
0.4,34,0.36666666666666664,4b9e74513eb0f16ec9d13c7158a848aa75f245764d86906b5e545376a001f945,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,No adjacent expansion reference.,0.5055555555555555,ADJ00,adjacent_expansion,2026-07-16T11:45:07.846575+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3168.6039699993366,0.0,8602.466666666667,9.0,7.633333333333334,3159.0397500112886,5449.888599992846,1.0,54,2026-07-16T11:43:32.678321+00:00
0.4,34,0.2,3636b2b5a6cd43fd488356041f5415a160581bf9a32b61e564509d6a4333d47d,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Child retrieval with same-page local parent windows.,0.3055555555555555,CPARENT01,child_parent,2026-07-16T11:35:21.093324+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_deduplication"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2189.6666666666665,3125.5285433352888,0.04937535164067656,8757.2,9.0,7.633333333333334,3064.396499990835,5612.028500007,1.0,54,2026-07-16T11:33:47.229889+00:00
0.4,34,0.2,3c3e037bb547402687ca3ac0f58eafd7de3c8216d1dd9bc8b35e665b2c9a7f63,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Small chunk-window approximation with one neighbouring chunk before and after.,0.3055555555555555,SW03,sentence_window,2026-07-16T11:43:32.373849+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_deduplication"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2474.9666666666667,3393.771606668209,0.0,9898.233333333334,9.0,7.633333333333334,3280.235800004448,6078.118599994923,1.0,54,2026-07-16T11:41:50.147780+00:00
0.4,34,0.13333333333333333,a46036fb0f95ed2b5aff930bfa026abac1aa5aa7235e8fc21021f78bd339936b,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Child retrieval with page-bounded parent windows.,0.2611111111111111,CPARENT03,child_parent,2026-07-16T11:38:33.061996+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_deduplication"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2191.133333333333,3216.23350000203,0.13886323634836248,8763.1,9.0,7.633333333333334,3167.879799999355,5592.988600008539,1.0,54,2026-07-16T11:36:56.471605+00:00
0.4,34,0.1,34892baf029511d2e4d3fdb80691a924262587fcf22fa747602a35b04e2fe3bb,0.0,bf7cf18e02abb87a6e22fe9b686d8f93fa34ceb3f67abc575741c0a63080b56d,Stage A selected plus sentence-window context.,0.18333333333333332,STRUCT_CANDIDATE_3,combined_structural,2026-07-16T11:58:46.365996+00:00,928f326807c9d0fb586b7169272a6764be6e7c044409235e0964b43ae4bfbe79,"{""evidence_found"": 28, ""lost_by_deduplication"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,430.76666666666665,2924.6807000003173,0.0,1721.5333333333333,9.0,7.633333333333334,2922.569200003636,5042.719700009911,1.0,54,2026-07-16T11:57:18.543075+00:00
